,Education.Major,Demographics.Ethnicity.Minorities,Demographics.Gender.Females,Education.Degrees.Bachelors,Education.Degrees.Doctorates,Education.Degrees.Masters,Employment.Employer Type.Business/Industry,Employment.Employer Type.Educational Institution,Employment.Employer Type.Government,Employment.Status.Unemployed
470,Agricultural Economics,0.075046355,0.240376974,0.833470423,0.008378759,0.146007891,0.777886211,0.020898103,0.095902634,0.010902146
471,Animal Sciences,0.126683455,0.396346875,0.628086796,0.039271372,0.170963591,0.748979388,0.067687648,0.049349915,0.008719576
472,Anthropology and Archeology,0.167031718,0.626552455,0.529438926,0.04986799,0.334868522,0.53817056,0.152744397,0.101180399,0.031700271
473,Area and Ethnic Studies,0.242644792,0.740698883,0.513493965,0.049142937,0.352643108,0.456966026,0.232662505,0.066814339,0.028335888
474,Atmospheric Sciences and Meteorology,0.109137384,0.326862098,0.603119135,0.072769042,0.324111823,0.563094545,0.097165599,0.175338122,0
475,Biochemistry and Biophysics,0.108698047,0.502431894,0.518031606,0.129500487,0.167402449,0.499889845,0.146434775,0.129678431,0.060471127
476,Biological Sciences,0.18035601,0.527756372,0.487998731,0.072825016,0.219635694,0.547453105,0.16506136,0.090666237,0.032997735
477,Botany,0.087359704,0.583972078,0.36042294,0.187414454,0.351286614,0.466671229,0.137010676,0.045955379,0.012558171
478,Chemical Engineering,0.147579018,0.241373724,0.578721648,0.09413401,0.29476371,0.747404781,0.054114446,0.04127285,0.024940392
479,Chemistry,0.119668677,0.409623341,0.453874975,0.181216851,0.252629899,0.531788497,0.174460541,0.05653596,0.021292282
480,Civil Engineering,0.136061426,0.166842827,0.622496539,0.026454684,0.343087482,0.597388627,0.0428154,0.181769828,0.034470531
481,Computer Science and Math,0.147504379,0.332283107,0.633120865,0.039415236,0.301425799,0.615226173,0.130407399,0.06663464,0.030791835
482,Criminology,0.341882831,0.438415265,0.704571056,0.009440975,0.230376643,0.340794666,0.035281045,0.372543009,0.101842982
483,Earth Sciences,0.059955959,0.43190311,0.702455625,0.029277326,0.238005472,0.495345656,0.295509142,0.050647271,0.022470973
484,Economics,0.149819034,0.309740506,0.625330721,0.035646447,0.263110979,0.649809053,0.086887255,0.066837472,0.030371037
485,Electrical Engineering,0.134992002,0.12939209,0.596972618,0.053252859,0.339968181,0.709344994,0.044321234,0.060377028,0.034977366
486,Environmental Science Studies,0.169683221,0.502556053,0.695284069,0.010492988,0.241494606,0.533594225,0.161679093,0.174064259,0.015277188
487,Food Sciences and Technology,0.181247107,0.614009566,0.691904164,0.077167229,0.215653861,0.569706187,0.088364302,0.111375609,0.009081091
488,Forestry Services,0.051448484,0.150038138,0.742024737,0.042938546,0.205180743,0.437955222,0.071564243,0.1573516,0.016840405
489,"Genetics, Animal and Plant",0.15500316,0.44432273,0.453633874,0.214998947,0.183020855,0.414072046,0.363092479,0.03509585,0.009016221
490,Geography,0.099570952,0.329502428,0.716941724,0.031592106,0.236279735,0.545302082,0.070288707,0.173064656,0.002258416
491,Geology,0.070189269,0.320368587,0.57154304,0.071759514,0.341143629,0.49908564,0.104553708,0.198794208,0.027430809
492,History of Science,0.050609319,0.661648746,0.667383513,0.050824373,0.142580645,0.471397849,0.116057348,0.015913978,0.02516129
493,Information Services and Systems,0.254501571,0.340581875,0.756759971,0.009109027,0.227284727,0.710344547,0.060769394,0.105368814,0.035145179
494,International Relations,0.147149718,0.607179075,0.57104307,0.025307579,0.287675188,0.605439651,0.143423364,0.101202815,0.053103977
495,Linguistics,0.169858323,0.767610812,0.545888524,0.06519759,0.255358142,0.475785477,0.199609319,0.077872765,0.068632508
496,Mechanical Engineering,0.124032419,0.101757269,0.634153757,0.035589323,0.320567956,0.738235956,0.049098116,0.089758102,0.020752899
497,Nutritional Science,0.110243117,0.884533277,0.600480134,0.018916023,0.332277664,0.541738022,0.09584692,0.029386695,0.086783807
498,OTHER Agricultural Sciences,0.051442281,0.179741115,0.777339173,0.063159069,0.11450371,0.627768789,0.141284941,0.043073146,0.115661441
499,OTHER Geological Sciences,0.036833603,0.388314486,0.638772213,0.063058697,0.29816909,0.443241788,0.046257404,0.086429725,0.145126548
500,OTHER Physical and Related Sciences,0.132615716,0.493675996,0.502583423,0.034149623,0.462648009,0.320209903,0.277556512,0.116630786,0.033153929
501,Oceanography,0.088927944,0.195547745,0.237961336,0.062097247,0.699941418,0.075688342,0.158992384,0.639953134,0.002108963
502,Operations Research,0.011963944,0.273750341,0.60928708,0.011800055,0.37213876,0.716907949,0.017426933,0.076263316,0.029937176
503,Other Engineering,0.174792726,0.204029552,0.634824329,0.043751172,0.302313587,0.699248189,0.058785089,0.065719347,0.026508882
504,"Pharmacology, Human and Animal",0.346402692,0.622088509,0.340320911,0.161490683,0.072269669,0.498382505,0.288431677,0.187047101,0
505,Philosophy of Science,0.282191781,0.594063927,0.621575342,0.063299087,0.180707763,0.765296804,0.171118721,0.042237443,0
506,Physics and Astronomy,0.093625197,0.178929134,0.352891339,0.279773228,0.340245669,0.491155906,0.246103937,0.096418898,0.020377953
507,"Physiology, Human and Animal",0.129747433,0.468933048,0.505054481,0.049663035,0.274579581,0.555048183,0.145351767,0.061441078,0.11812685
508,Plant Sciences,0.079161743,0.415404447,0.756704981,0.067658538,0.17071293,0.617941419,0.102678412,0.104943245,0.034411143
509,Political Science and Government,0.191557677,0.441656953,0.482156982,0.031163936,0.239974108,0.554704966,0.118105144,0.137110924,0.039583292
510,Psychology,0.200971011,0.702370132,0.568548889,0.04925264,0.330014382,0.486018027,0.184605913,0.102230309,0.035482546
511,Public Policy Studies,0.156337134,0.460896487,0.608868719,0.013460762,0.304059381,0.373343846,0.093379228,0.169874815,0.001288387
512,Sociology,0.259926478,0.681501031,0.634953783,0.024252778,0.302606404,0.415946112,0.177045962,0.094604875,0.025645014
513,Statistics,0.102676809,0.651889196,0.576949299,0.067117586,0.336108221,0.588449532,0.06187879,0.081039865,0.011123471
514,"Zoology, General",0.075627533,0.427363802,0.345935961,0.156161209,0.23242407,0.446753063,0.162538017,0.128447977,0.010018177
